201050,2010-06-26T20:30,USA,Ghana,1,2,Knock,Royal Bafokeng Sports Palace,Phokeng
201051,2010-06-27T16:00,Germany,England,4,1,Knock,Free State Stadium,Mangaung/Bloemfontein
201052,2010-06-27T20:30,Argentina,Mexico,3,1,Knock,Soccer City Stadium,Johannesburg
201053,2010-06-28T16:00,Netherlands,Slovakia,2,1,Knock,Durban Stadium,Durban
201054,2010-06-28T20:30,Brazil,Chile,3,0,Knock,Ellis Park Stadium,Johannesburg
201055,2010-06-29T16:00,Paraguay,Japan,0,0,Knock,Loftus Versfeld Stadium,Tshwane/Pretoria
201056,2010-06-29T20:30,Spain,Portugal,1,0,Knock,Cape Town Stadium,Cape Town
201057,2010-07-02T16:00,Netherlands,Brazil,2,1,Quarter,Port Elizabeth Stadium,Nelson Mandela Bay/Port Elizabeth
201058,2010-07-02T20:30,Uruguay,Ghana,1,1,Quarter,Soccer City Stadium,Johannesburg
201059,2010-07-03T16:00,Argentina,Germany,0,4,Quarter,Cape Town Stadium,Cape Town
201060,2010-07-03T20:30,Paraguay,Spain,0,1,Quarter,Ellis Park Stadium,Johannesburg
201061,2010-07-06T20:30,Uruguay,Netherlands,2,3,Semi,Cape Town Stadium,Cape Town
201062,2010-07-07T20:30,Germany,Spain,0,1,Semi,Durban Stadium,Durban
201063,2010-07-10T20:30,Uruguay,Germany,2,3,Third,Port Elizabeth Stadium,Nelson Mandela Bay/Port Elizabeth
201064,2010-07-11T20:30,Netherlands,Spain,0,1,Final,Soccer City Stadium,Johannesburg
200601,2006-06-09T18:00,Germany,Costa Rica,4,2,A,FIFA World Cup Stadium, Munich,Munich
200602,2006-06-09T21:00,Poland,Ecuador,0,2,A,FIFA World Cup Stadium, Gelsenkirchen,Gelsenkirchen
200603,2006-06-10T15:00,England,Paraguay,1,0,B,FIFA World Cup Stadium, Frankfurt,Frankfurt/Main
200604,2006-06-10T18:00,Trinidad and Tobago,Sweden,0,0,B,FIFA World Cup Stadium, Dortmund,Dortmund
200605,2006-06-10T21:00,Argentina,Côte d'Ivoire,2,1,C,FIFA World Cup Stadium, Hamburg,Hamburg
